State: i = 0, script[i] = +, pointer = 0, cells[pointer] = 0
State: i = 1, script[i] = +, pointer = 0, cells[pointer] = 1
State: i = 2, script[i] = +, pointer = 0, cells[pointer] = 2
State: i = 3, script[i] = +, pointer = 0, cells[pointer] = 3
State: i = 4, script[i] = +, pointer = 0, cells[pointer] = 4
State: i = 5, script[i] = +, pointer = 0, cells[pointer] = 5
State: i = 6, script[i] = +, pointer = 0, cells[pointer] = 6
State: i = 7, script[i] = +, pointer = 0, cells[pointer] = 7
State: i = 8, script[i] = +, pointer = 0, cells[pointer] = 8
State: i = 9, script[i] = +, pointer = 0, cells[pointer] = 9
State: i = 10, script[i] = [, pointer = 0, cells[pointer] = 10
State: i = 11, script[i] = >, pointer = 0, cells[pointer] = 10
State: i = 12, script[i] = +, pointer = 1, cells[pointer] = 0
State: i = 13, script[i] = +, pointer = 1, cells[pointer] = 1
State: i = 14, script[i] = +, pointer = 1, cells[pointer] = 2
State: i = 15, script[i] = +, pointer = 1, cells[pointer] = 3
State: i = 16, script[i] = +, pointer = 1, cells[pointer] = 4
State: i = 17, script[i] = +, pointer = 1, cells[pointer] = 5
State: i = 18, script[i] = +, pointer = 1, cells[pointer] = 6
State: i = 19, script[i] = >, pointer = 1, cells[pointer] = 7
State: i = 20, script[i] = +, pointer = 2, cells[pointer] = 0
State: i = 21, script[i] = +, pointer = 2, cells[pointer] = 1
State: i = 22, script[i] = +, pointer = 2, cells[pointer] = 2
State: i = 23, script[i] = +, pointer = 2, cells[pointer] = 3
State: i = 24, script[i] = +, pointer = 2, cells[pointer] = 4
State: i = 25, script[i] = +, pointer = 2, cells[pointer] = 5
State: i = 26, script[i] = +, pointer = 2, cells[pointer] = 6
State: i = 27, script[i] = +, pointer = 2, cells[pointer] = 7
State: i = 28, script[i] = +, pointer = 2, cells[pointer] = 8
State: i = 29, script[i] = +, pointer = 2, cells[pointer] = 9
State: i = 30, script[i] = >, pointer = 2, cells[pointer] = 10
State: i = 31, script[i] = +, pointer = 3, cells[pointer] = 0
State: i = 32, script[i] = +, pointer = 3, cells[pointer] = 1
State: i = 33, script[i] = +, pointer = 3, cells[pointer] = 2
State: i = 34, script[i] = >, pointer = 3, cells[pointer] = 3
State: i = 35, script[i] = +, pointer = 4, cells[pointer] = 0
State: i = 36, script[i] = <, pointer = 4, cells[pointer] = 1
State: i = 37, script[i] = <, pointer = 3, cells[pointer] = 3
State: i = 38, script[i] = <, pointer = 2, cells[pointer] = 10
State: i = 39, script[i] = <, pointer = 1, cells[pointer] = 7
State: i = 40, script[i] = -, pointer = 0, cells[pointer] = 10
State: i = 41, script[i] = ], pointer = 0, cells[pointer] = 10
State: i = 42, script[i] = >, pointer = 0, cells[pointer] = 10
State: i = 43, script[i] = +, pointer = 1, cells[pointer] = 7
State: i = 44, script[i] = +, pointer = 1, cells[pointer] = 8
State: i = 45, script[i] = ., pointer = 1, cells[pointer] = 9
State: i = 46, script[i] = >, pointer = 1, cells[pointer] = 9
State: i = 47, script[i] = +, pointer = 2, cells[pointer] = 10
State: i = 48, script[i] = ., pointer = 2, cells[pointer] = 11
State: i = 49, script[i] = +, pointer = 2, cells[pointer] = 11
State: i = 50, script[i] = +, pointer = 2, cells[pointer] = 12
State: i = 51, script[i] = +, pointer = 2, cells[pointer] = 13
State: i = 52, script[i] = +, pointer = 2, cells[pointer] = 14
State: i = 53, script[i] = +, pointer = 2, cells[pointer] = 15
State: i = 54, script[i] = +, pointer = 2, cells[pointer] = 16
State: i = 55, script[i] = +, pointer = 2, cells[pointer] = 17
State: i = 56, script[i] = ., pointer = 2, cells[pointer] = 18
State: i = 57, script[i] = ., pointer = 2, cells[pointer] = 18
State: i = 58, script[i] = +, pointer = 2, cells[pointer] = 18
State: i = 59, script[i] = +, pointer = 2, cells[pointer] = 19
State: i = 60, script[i] = +, pointer = 2, cells[pointer] = 20
State: i = 61, script[i] = ., pointer = 2, cells[pointer] = 21
State: i = 62, script[i] = >, pointer = 2, cells[pointer] = 21
State: i = 63, script[i] = +, pointer = 3, cells[pointer] = 3
State: i = 64, script[i] = +, pointer = 3, cells[pointer] = 4
State: i = 65, script[i] = ., pointer = 3, cells[pointer] = 5
State: i = 66, script[i] = <, pointer = 3, cells[pointer] = 5
State: i = 67, script[i] = <, pointer = 2, cells[pointer] = 21
State: i = 68, script[i] = +, pointer = 1, cells[pointer] = 9
State: i = 69, script[i] = +, pointer = 1, cells[pointer] = 10
State: i = 70, script[i] = +, pointer = 1, cells[pointer] = 11
State: i = 71, script[i] = +, pointer = 1, cells[pointer] = 12
State: i = 72, script[i] = +, pointer = 1, cells[pointer] = 13
State: i = 73, script[i] = +, pointer = 1, cells[pointer] = 14
State: i = 74, script[i] = +, pointer = 1, cells[pointer] = 15
State: i = 75, script[i] = +, pointer = 1, cells[pointer] = 16
State: i = 76, script[i] = +, pointer = 1, cells[pointer] = 17
State: i = 77, script[i] = +, pointer = 1, cells[pointer] = 18
State: i = 78, script[i] = +, pointer = 1, cells[pointer] = 19
State: i = 79, script[i] = +, pointer = 1, cells[pointer] = 20
State: i = 80, script[i] = +, pointer = 1, cells[pointer] = 21
State: i = 81, script[i] = +, pointer = 1, cells[pointer] = 22
State: i = 82, script[i] = +, pointer = 1, cells[pointer] = 23
State: i = 83, script[i] = ., pointer = 1, cells[pointer] = 24
State: i = 84, script[i] = >, pointer = 1, cells[pointer] = 24
State: i = 85, script[i] = ., pointer = 2, cells[pointer] = 21
State: i = 86, script[i] = +, pointer = 2, cells[pointer] = 21
State: i = 87, script[i] = +, pointer = 2, cells[pointer] = 22
State: i = 88, script[i] = +, pointer = 2, cells[pointer] = 23
State: i = 89, script[i] = ., pointer = 2, cells[pointer] = 24
State: i = 90, script[i] = -, pointer = 2, cells[pointer] = 24
State: i = 91, script[i] = -, pointer = 2, cells[pointer] = 23
State: i = 92, script[i] = -, pointer = 2, cells[pointer] = 22
State: i = 93, script[i] = -, pointer = 2, cells[pointer] = 21
State: i = 94, script[i] = -, pointer = 2, cells[pointer] = 20
State: i = 95, script[i] = -, pointer = 2, cells[pointer] = 19
State: i = 96, script[i] = ., pointer = 2, cells[pointer] = 18
State: i = 97, script[i] = -, pointer = 2, cells[pointer] = 18
State: i = 98, script[i] = -, pointer = 2, cells[pointer] = 17
State: i = 99, script[i] = -, pointer = 2, cells[pointer] = 16
State: i = 100, script[i] = -, pointer = 2, cells[pointer] = 15
State: i = 101, script[i] = -, pointer = 2, cells[pointer] = 14
State: i = 102, script[i] = -, pointer = 2, cells[pointer] = 13
State: i = 103, script[i] = -, pointer = 2, cells[pointer] = 12
State: i = 104, script[i] = -, pointer = 2, cells[pointer] = 11
State: i = 105, script[i] = ., pointer = 2, cells[pointer] = 10
State: i = 106, script[i] = >, pointer = 2, cells[pointer] = 10
State: i = 107, script[i] = +, pointer = 3, cells[pointer] = 5
State: i = 108, script[i] = ., pointer = 3, cells[pointer] = 6
State: i = 109, script[i] = >, pointer = 3, cells[pointer] = 6
State: i = 110, script[i] = ., pointer = 4, cells[pointer] = 1
State: i = 111, script[i] = +, pointer = 4, cells[pointer] = 1
State: i = 112, script[i] = +, pointer = 4, cells[pointer] = 2
State: i = 113, script[i] = +, pointer = 4, cells[pointer] = 3
State: i = 114, script[i] = ., pointer = 4, cells[pointer] = 4
State: i = 115, script[i] = ., pointer = 4, cells[pointer] = 4
State: i = 116, script[i] = ., pointer = 4, cells[pointer] = 4
